,@id,amenity,name,@lat,@lon,contact:phone,contact:website,addr:city,addr:street
0,16541597,fuel,Aral,52.5464403,13.3454394,,,,
1,26735749,restaurant,Aida,52.5069077,13.3228653,,,Berlin,Knesebeckstraße
2,26735759,restaurant,Madame Ngo,52.5062119,13.3180811,,http://madame-ngo.de/,Berlin,Kantstraße
3,26735763,restaurant,Thanh Long,52.5073199,13.3207804,,,Berlin,Pestalozzistraße
4,26756830,fuel,Aral,52.5308379,13.3281096,,,Berlin,Beusselstraße
5,26867411,fuel,Bavaria petrol,52.5018511,13.294379,,,Berlin,Heilbronner Straße
6,26882421,fuel,Aral,52.4842654,13.3206691,,,,
7,27259583,fuel,Esso,52.5197229,13.3413153,,,Berlin,Lessingstraße
8,27409122,fuel,Star,52.5188609,13.3029397,,,,
9,28968292,bank,Berliner Volksbank,52.4866675,13.319723,,,Berlin,Berliner Straße
10,28968294,post_office,Deutsche Post,52.489074,13.322506,,,Berlin,Uhlandstraße
11,28968295,bank,Postbank,52.4890244,13.3224941,,,,
12,29040540,post_office,Postamt,52.5245064,13.3465209,,,,
13,29040731,place_of_worship,Sultan Ahmed Camii,52.5347753,13.3587758,,,,
14,29040741,cinema,Filmrauschpalast in der Kulturfabrik,52.5343784,13.3596231,,,Berlin,Lehrter Straße
15,29071031,library,Bruno-Lösche-Bibliothek,52.5312448,13.3475136,,,Berlin,Perleberger Straße
16,29186788,place_of_worship,Hicret Camii,52.533221,13.3515338,,,,
17,29193449,parking,Parkhaus IHZ,52.5194189,13.3908216,,,Berlin,Dorotheenstraße
18,29695282,police,Polizei Abschnitt 27,52.5336632,13.3536389,,,Berlin,Perleberger Straße
19,29697498,parking,Parkplatz für Busse,52.5272886,13.3681261,,,,
20,29997723,fuel,Aral,52.5083702,13.2809474,,,Berlin,Messedamm
21,29997724,restaurant,La Pergola,52.5063184,13.2846256,+49 30 3212430,http://www.lapergola-berlin.de,Berlin,Neue Kantstraße
22,30012753,arts_centre,Umspannwerk,52.4940425,13.4291868,+49 30 66068444,http://www.umspannwerk-kreuzberg.de/,,
23,30012754,cafe,Eiscafe Eisberg,52.5388551,13.3960965,+49 30 46456678,,Berlin,Brunnenstraße
24,30020303,restaurant,Tibet Haus,52.4907103,13.3939814,+49 30 6948948,,Berlin,Zossener Straße
25,30022140,fast_food,Curry 36,52.4934924,13.3876866,+49 30 2580088336,https://curry36.de/,Berlin,Mehringdamm
26,30057218,fast_food,Bistro Öz Tadim,52.5243061,13.3338667,,,,
27,35300986,pub,Deichgraf,52.5398463,13.3521465,,,Berlin,Nordufer
28,35528080,cafe,Coffee Star,52.5476798,13.3563426,,,Berlin,Müllerstraße
29,35966292,restaurant,Paella,52.5068889,13.2839198,+49 30 30207745,https://paella.eatbu.com,Berlin,Wundtstraße
30,35973391,restaurant,Cancún,52.5103223,13.2829535,,,Berlin,Kaiserdamm
31,36310174,restaurant,SchAtulle,52.5543102,13.3311051,+49 30 4513071,,Berlin,
32,60436247,fuel,HEM,52.5775721,13.3066148,,,Berlin,Wittestraße
33,60775323,pharmacy,Reichenberger Apotheke,52.5407412,13.4866016,,,Berlin,Reichenberger Straße
34,60848447,pharmacy,Castello-Apotheke,52.5318353,13.4696536,,,,
35,60848455,bank,Sparkasse,52.5303395,13.4710823,,,Berlin,Anton-Saefkow-Platz
36,60848456,library,Anton-Saefkow-Bibliothek,52.5307772,13.4708382,+4930902963773,,Berlin,Anton-Saefkow-Platz
37,60852928,pharmacy,Rosen Apotheke,52.5275552,13.4685134,,,Berlin,Rudolf-Seiffert-Straße
38,61818198,fuel,Aral,52.4924086,13.3091456,,,Berlin,Westfälische Straße
39,63253646,restaurant,Haus der 100 Biere,52.4983826,13.2969979,,,Berlin,Kurfürstendamm
40,63253652,restaurant,Ach!NikO!Ach!,52.4985867,13.2982491,,,Berlin,Kurfürstendamm
41,63253660,restaurant,Ristorante Salve,52.5009791,13.2976442,+49 30 31809777,https://www.ristorantesalveberlin.de/,Berlin,Damaschkestraße
42,64707597,fuel,Aral,52.5138544,13.421876,,,Berlin,Holzmarktstraße
43,66917094,theatre,Friedrichstadt-Palast,52.5239216,13.3888786,,,Berlin,Friedrichstraße
